time,open,high,low,close
1424822400,238.90041665,240.40281907,234.33529975,237.32791207
1424908800,236.97503946,238.24587461,233.07103408,236.30753262
1424995200,237.02927922,259.66708641,234.56626787,254.52435411
1425081600,254.46213051,256.3022528,250.00918734,256.12567566
1425168000,256.06549512,262.56879706,242.9346095,260.30070579
1425254400,260.82691091,277.96075243,254.121,276.10295139
1425340800,276.20196621,287.81545368,267.66152756,282.62536248
1425427200,282.33155697,284.75778218,267.48841271,272.61775938
1425513600,272.70807708,281.2048047,264.19584093,276.21632707
1425600000,276.22579325,278.25235822,269.60506883,272.41533698
1425686400,271.95921015,278.66388119,268.93696625,275.52224823
1425772800,275.67991077,278.66631285,271.6238311,274.32995033
1425859200,274.09316082,292.56336555,273.3143738,289.68923153
1425945600,289.69434698,301.09470492,288.84699915,292.43731415
1426032000,292.25416419,298.45467588,290.40683149,296.58861539
1426118400,296.55013759,297.71611929,292.16552391,295.370489
1426204800,294.64818872,295.18046679,285.11077735,285.11077735
1426291200,284.9444992,286.97534724,280.49801351,282.05006019
1426377600,282.37555748,287.10611827,279.93110893,286.56103327
1426464000,286.33276478,294.58003335,285.55844049,291.78154505
1426550400,291.59523253,293.31050069,284.38894345,286.36185758
1426636800,285.90622463,287.37794025,249.49714781,256.79581034
1426723200,256.60194377,265.14760536,247.41216614,261.38967227
1426809600,261.30669161,265.69366624,257.26260973,262.02864817
1426896000,262.18591821,262.61820126,254.96768853,260.06852659
1426982400,259.93023614,269.5874948,258.83694568,267.70956562
1427068800,267.92350541,270.13432677,260.56427505,265.86702793
1427155200,266.03662075,267.28188237,241.86058556,244.98151447
1427241600,246.0622258,249.36452896,235.29774049,246.21682664
1427328000,246.18843882,255.02523968,244.4154196,249.08837687
1427414400,249.17946483,249.79018224,244.870019,246.74375411
1427500800,246.72661956,255.30607073,246.6974793,253.32357069
1427587200,253.10931006,253.43195184,239.92363091,243.10872465
1427673600,243.04169848,249.83703014,236.92777007,247.31460541
1427760000,247.4382906,249.00261278,242.31001438,244.4722511
1427846400,244.29313823,248.64496338,239.84239296,247.81835819
1427932800,247.73648703,254.80427799,244.90392484,253.42536669
1428019200,253.32233782,257.40249985,250.87265537,255.14693056
1428105600,255.17474495,256.45587928,249.71592168,254.23468197
1428192000,254.92358115,262.63441003,249.99116006,261.91896096
1428278400,261.86591512,262.94419004,252.05866107,255.78652733
1428364800,255.87380431,257.00760123,250.39829493,254.13265819
1428451200,254.13356109,255.08807205,242.06835138,244.28866673
1428537600,244.53465183,246.56158604,237.73346066,243.71118479
1428624000,243.58745056,244.06105812,232.00928339,236.24743158
1428710400,236.0073098,240.375033,233.32245743,236.39373027
1428796800,236.70233549,238.28404791,233.22775514,236.01440878
1428883200,236.15273428,237.64496433,220.72717618,224.10610117
1428969600,223.97052992,225.00878253,216.11802983,219.29795842
1429056000,218.83714097,224.68461087,217.93834197,224.35935565
1429142400,224.51139386,230.39577615,224.22662018,229.03709456
1429228800,229.27872734,229.72680551,221.26917984,223.19288055
1429315200,223.04615367,224.91042734,220.86190889,223.24092771
1429401600,223.44695857,227.00759014,221.78177476,222.26828033
1429488000,222.42650319,226.45648441,220.10186082,224.68227208
1429574400,224.88665059,235.97368954,223.33369488,235.73122515
1429660800,235.57682764,238.73286088,233.26261744,235.62862371
1429747200,234.96979,237.56553626,231.73734399,236.57573288
1429833600,236.23891479,237.13504985,229.89514009,231.31757448
1429920000,231.28214818,233.63193578,225.92814611,226.24210846
1430006400,226.85298955,227.85060671,214.55298617,218.00360959
1430092800,219.1206503,231.16363454,217.16408856,227.65229647
1430179200,227.87090873,229.87953599,222.61639791,224.92501372
1430265600,224.99141093,227.25934789,222.71746047,225.24408756
1430352000,225.16873992,239.08893936,224.1253259,235.21089395
1430438400,235.15424362,238.83770238,231.57598664,231.68649464
1430524800,231.7716161,236.01,231.7716161,234.27057425
1430611200,234.14268741,243.71286944,233.33935999,240.43157808
1430697600,240.36286662,242.92487198,237.27857711,238.59090627
1430784000,238.56219789,239.53331567,231.84085731,235.68047014
1430870400,236.42323118,236.90150092,228.83410823,229.85729634
1430956800,229.57425743,239.64743493,228.10956438,237.80874829
1431043200,237.69691062,247.20470773,236.27846979,244.15576119
1431129600,244.17156438,248.73251882,239.12219574,241.96708918
1431216000,242.09781667,244.82817616,238.78322999,240.5782035
1431302400,240.5661079,245.09526337,239.02655223,242.88518853
1431388800,242.94212904,244.04282999,239.85030116,242.38790047
1431475200,242.26246701,244.69867367,234.87291927,235.9201545
1431561600,235.99407044,238.00256235,232.67585113,237.1781529
1431648000,237.04567455,238.81912418,235.7670184,237.63411544
1431734400,237.58419949,237.73229076,234.85811301,236.0001955
1431820800,236.08546722,237.95783423,235.54824138,236.49423572
